name,date_start,date_end,lon0,lon1,lat0,lat1
Med2003,2003-06-01,2003-09-14,-5,20,36,46
Beng2001,2001-03-24,2001-05-25,10,20,-35,-15
WA2011,2011-01-09,2011-06-27,108,118,-35,-22
NWA2012,2012-06-13,2013-03-13,-72,-60,38,45
WSA2014,2014-01-17,2014-08-03,-52,-40,-42,-30
ECS2016,2016-09-29,2017-02-26,120,132,28,38
AL2016,2016-01-01,2017-01-12,-175,-150,52,62
NA2016,2016-02-09,2016-08-23,120,135,-20,-10
NEP2015,2015-01-05,2016-02-03,-145,-125,38,52
Tas2017,2017-09-26,2018-04-10,145,155,-46,-38
Peru2017,2017-01-19,2017-05-26,-85,-75,-18,-5
NA 2023,2022-10-01,2024-06-01,-60,-10,10,50
SWPac2023,2022-11-17,2024-01-01,150,-140,-60,-40
